dataset,image_index,sigma_true,nu,sigma_hat_krishnan,psnr_diagnostic,ssim_diagnostic,lpips_diagnostic
CelebA,0,0.5,0.01,1.6227974891662598,25.811581197499493,0.7606779932975769,0.15035194158554077
CelebA,1,0.5,0.01,1.074615240097046,28.41111239156787,0.8707258701324463,0.0682733952999115
CelebA,2,0.5,0.01,1.29103422164917,28.79102716533597,0.8337985873222351,0.12880077958106995
CelebA,3,0.5,0.01,1.1172864437103271,29.961897651857683,0.8983933329582214,0.11032135039567947
CelebA,4,0.5,0.01,1.309731125831604,28.310991818662984,0.8492032885551453,0.10634616017341614
CelebA,5,0.5,0.01,1.3455657958984375,26.17468328356777,0.824720561504364,0.17121142148971558
CelebA,6,0.5,0.01,1.205126166343689,29.743582730265096,0.8105113506317139,0.18569695949554443
CelebA,7,0.5,0.01,1.3709378242492676,27.250265321552906,0.8049696087837219,0.22587046027183533
CelebA,8,0.5,0.01,1.1359459161758423,29.17220515251319,0.8111231327056885,0.1453503966331482
CelebA,9,0.5,0.01,1.2847411632537842,25.654102427494102,0.8563570976257324,0.12432277202606201
CelebA,10,0.5,0.01,1.3108134269714355,28.53507966507096,0.8723564147949219,0.1250101774930954
CelebA,11,0.5,0.01,1.3126146793365479,28.060164636919005,0.8517692685127258,0.11549046635627747
CelebA,12,0.5,0.01,1.234504222869873,28.217821349949507,0.8149241805076599,0.16498348116874695
CelebA,13,0.5,0.01,1.3166987895965576,28.850224401615428,0.8436282277107239,0.1053231880068779
CelebA,14,0.5,0.01,1.2162950038909912,30.492699772982714,0.889807403087616,0.11142593622207642
CelebA,15,0.5,0.01,1.0760939121246338,30.353344586715156,0.8586269021034241,0.1562170386314392
CelebA,16,0.5,0.01,1.6201190948486328,25.793099088438964,0.7992582321166992,0.1862511783838272
CelebA,17,0.5,0.01,1.4077637195587158,29.173520727084394,0.8463414311408997,0.13704384863376617
CelebA,18,0.5,0.01,1.3784005641937256,29.754641015452748,0.8919475674629211,0.1086312010884285
CelebA,19,0.5,0.01,1.272667646408081,29.610313649767445,0.895399272441864,0.06480187922716141
CelebA,20,0.5,0.01,1.5348117351531982,28.22906778895263,0.8992908596992493,0.06484957039356232
CelebA,21,0.5,0.01,1.4810504913330078,25.80321084764548,0.806419312953949,0.09126506000757217
CelebA,22,0.5,0.01,1.2445213794708252,28.07726102576075,0.8506941795349121,0.17895174026489258
CelebA,23,0.5,0.01,1.2558462619781494,30.012882488789366,0.8269774913787842,0.21903227269649506
CelebA,24,0.5,0.01,1.1415295600891113,28.905097654728365,0.826735258102417,0.12198977172374725
CelebA,25,0.5,0.01,1.4072215557098389,30.291358786701963,0.8826687932014465,0.10673847794532776
CelebA,26,0.5,0.01,1.443320631980896,27.20186515719835,0.8462722301483154,0.10285758972167969
CelebA,27,0.5,0.01,1.205501675605774,28.106118224204828,0.8150019645690918,0.1461637020111084
CelebA,28,0.5,0.01,1.138683795928955,26.370986291436257,0.8276869654655457,0.19425168633460999
CelebA,29,0.5,0.01,1.5388532876968384,26.84743888774499,0.8525364398956299,0.13267937302589417
CelebA,30,0.5,0.01,0.9674965739250183,28.97495821342403,0.8422389030456543,0.12266848236322403
CelebA,31,0.5,0.01,1.3258960247039795,26.09315807541278,0.7774486541748047,0.15441465377807617
CelebA,32,0.5,0.01,1.6847963333129883,23.41089818756184,0.760869562625885,0.12470370531082153
CelebA,33,0.5,0.01,1.3372563123703003,26.17671376224354,0.7985404133796692,0.2251795530319214
CelebA,34,0.5,0.01,1.2211908102035522,27.055045983427522,0.8244107365608215,0.14649710059165955
CelebA,35,0.5,0.01,1.206039547920227,31.02856448732763,0.9003294110298157,0.08583451062440872
CelebA,36,0.5,0.01,1.3514844179153442,29.47950683039177,0.8627471327781677,0.09616214036941528
CelebA,37,0.5,0.01,1.2458657026290894,28.47596209540313,0.8242310881614685,0.12334296107292175
CelebA,38,0.5,0.01,1.061095952987671,29.664352352890035,0.8389706611633301,0.12320459634065628
CelebA,39,0.5,0.01,1.3988897800445557,23.972227001525795,0.8004264831542969,0.1684868335723877
CelebA,40,0.5,0.01,1.3766306638717651,26.948571187950098,0.8232937455177307,0.11264538764953613
CelebA,41,0.5,0.01,1.390216588973999,29.130870798870458,0.8820130228996277,0.11939548701047897
CelebA,42,0.5,0.01,1.1964622735977173,27.29546825053701,0.8110012412071228,0.193689227104187
CelebA,43,0.5,0.01,1.482778787612915,27.498399001072325,0.7992246150970459,0.19938676059246063
CelebA,44,0.5,0.01,1.1352814435958862,27.799318861886967,0.8003823161125183,0.12009219080209732
CelebA,45,0.5,0.01,1.0044926404953003,29.440078652229666,0.8509852886199951,0.16073527932167053
CelebA,46,0.5,0.01,1.295114278793335,29.09080363758938,0.8401256203651428,0.12862269580364227
CelebA,47,0.5,0.01,1.1333433389663696,29.236154319386678,0.7809328436851501,0.20950987935066223
CelebA,48,0.5,0.01,1.5040671825408936,27.046517473866707,0.8412825465202332,0.16282685101032257
CelebA,49,0.5,0.01,1.300699234008789,30.485541120079063,0.8246244788169861,0.09325142949819565
CelebA,50,0.5,0.01,1.2192301750183105,28.6212452241684,0.8196157813072205,0.14504946768283844
CelebA,51,0.5,0.01,1.2908512353897095,26.73203426487122,0.7808539867401123,0.18235138058662415
CelebA,52,0.5,0.01,1.2988096475601196,28.489527565101206,0.8503019213676453,0.1391572207212448
CelebA,53,0.5,0.01,1.3342359066009521,28.48296966522542,0.887349545955658,0.09813128411769867
CelebA,54,0.5,0.01,1.461819052696228,28.17993111422419,0.8480143547058105,0.11039525270462036
CelebA,55,0.5,0.01,1.3743786811828613,27.385394751683116,0.8115234375,0.1616053283214569
CelebA,56,0.5,0.01,1.2878979444503784,27.65528379484474,0.8878995776176453,0.0777839794754982
CelebA,57,0.5,0.01,1.4799185991287231,25.67329102179428,0.8347113728523254,0.16618528962135315
CelebA,58,0.5,0.01,1.4823497533798218,28.450260300072706,0.8093652725219727,0.14938324689865112
CelebA,59,0.5,0.01,1.3932143449783325,30.007618058295144,0.8681558966636658,0.12015068531036377
CelebA,60,0.5,0.01,1.221232295036316,29.485224254456245,0.7959551811218262,0.09832353889942169
CelebA,61,0.5,0.01,1.602629542350769,25.60291719967992,0.748328447341919,0.20197725296020508
CelebA,62,0.5,0.01,1.296205997467041,26.657245210810334,0.8039207458496094,0.11706340312957764
CelebA,63,0.5,0.01,1.419154167175293,25.052378959666566,0.774806559085846,0.21241497993469238
CelebA,64,0.5,0.01,1.4429271221160889,26.75682993492359,0.8519381880760193,0.18669530749320984
CelebA,65,0.5,0.01,1.4299733638763428,28.30175808760609,0.9154744148254395,0.0755283385515213
CelebA,66,0.5,0.01,1.3346519470214844,29.608422757018978,0.876785933971405,0.0901518315076828
CelebA,67,0.5,0.01,0.8937445282936096,29.359700133264,0.7966236472129822,0.20742756128311157
CelebA,68,0.5,0.01,1.1838845014572144,28.100807818479407,0.8442654609680176,0.11189781129360199
CelebA,69,0.5,0.01,1.1661754846572876,30.74665867849348,0.8725853562355042,0.08674699068069458
CelebA,70,0.5,0.01,1.1284136772155762,30.018275158911102,0.8435212969779968,0.1094006821513176
CelebA,71,0.5,0.01,1.3246006965637207,28.010439736093296,0.8943427205085754,0.07564783841371536
CelebA,72,0.5,0.01,1.3537546396255493,27.541268754382568,0.8305191993713379,0.08344347029924393
CelebA,73,0.5,0.01,1.3335003852844238,29.93060888558084,0.903984010219574,0.07701651751995087
